POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Sachin Tendulkar,16,16,3,553,100*,42.53,488,113.31,1,2,67,5
2,Chris Gayle,12,12,3,608,107,67.55,332,183.13,2,3,57,44
3,Paul Valthaty,14,14,1,463,120*,35.61,338,136.98,1,2,56,20
4,Virat Kohli,16,16,4,557,71,46.41,460,121.08,0,4,55,16
5,Michael Hussey,14,14,2,492,83*,41.00,414,118.84,0,4,53,6
6,Shaun Marsh,14,13,1,504,95,42.00,344,146.51,0,4,52,20
7,Virender Sehwag,11,11,0,424,119,38.54,240,176.66,1,2,51,18
8,Shikhar Dhawan,14,14,2,400,95*,33.33,310,129.03,0,2,47,7
9,Jacques Kallis,15,14,2,424,80*,35.33,378,112.16,0,4,46,6
10,Rahul Dravid,12,12,1,343,66,31.18,314,109.23,0,1,45,2
11,Ambati Rayudu,16,16,2,395,63*,28.21,350,112.85,0,4,44,9
12,Gautam Gambhir,15,15,4,378,75*,34.36,317,119.24,0,2,44,3
13,Kumar Sangakkara,13,13,0,358,65,27.53,293,122.18,0,1,44,5
14,Adam Gilchrist,14,14,0,383,106,27.35,295,129.83,1,2,41,18
15,Subramaniam Badrinath,16,13,6,396,71*,56.57,313,126.51,0,5,38,9
16,Jesse Ryder,13,13,0,292,60,22.46,197,148.22,0,2,37,11
17,Suresh Raina,16,16,2,438,73*,31.28,325,134.76,0,4,36,17
18,Brendon McCullum,13,13,0,357,81,27.46,275,129.81,0,1,35,16
19,Mahela Jayawardene,13,13,0,299,76,23.00,257,116.34,0,3,35,5
20,Murali Vijay,16,16,0,434,95,27.12,339,128.02,0,3,34,20
21,David Warner,13,13,0,324,77,24.92,276,117.39,0,3,34,11
22,Tillakaratne Dilshan,10,10,2,226,59*,28.25,180,125.55,0,2,33,3
23,Rohit Sharma,16,14,3,372,87,33.81,297,125.25,0,3,32,13
24,Dinesh Karthik,14,13,2,282,69,25.63,220,128.18,0,1,32,7
25,Shane Watson,11,11,1,330,89*,33.00,253,130.43,0,1,31,17
26,Venugopal Rao,14,14,2,336,60,28.00,280,120.00,0,1,30,13
27,Manish Pandey,10,9,0,246,59,27.33,227,108.37,0,1,28,6
28,Robin Uthappa,14,13,3,264,45,26.40,209,126.31,0,0,27,10
29,Manoj Tiwary,15,14,7,359,61*,51.28,325,110.46,0,1,26,14
30,Brad Hodge,14,14,6,285,51*,35.62,236,120.76,0,1,26,9
31,MS Dhoni,16,13,4,392,70*,43.55,247,158.70,0,2,25,23
32,Sunny Sohal,11,10,0,249,62,24.90,191,130.36,0,2,25,10
33,Parthiv Patel,14,13,3,202,37*,20.20,183,110.38,0,0,25,2
34,Yuvraj Singh,14,13,3,343,66*,34.30,261,131.41,0,2,24,18
35,Yusuf Pathan,15,11,1,283,47*,28.30,201,140.79,0,0,24,13
36,James Hopes,10,8,3,196,55,39.20,158,124.05,0,2,22,3
37,AB de Villiers,16,13,4,312,65,34.66,243,128.39,0,2,21,14
38,Bharat Chipli,14,13,5,207,61*,25.87,170,121.76,0,1,21,4
39,Aiden Blizzard,6,6,0,120,51,20.00,87,137.93,0,1,21,2
40,Ravindra Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,20,14
41,Johan Botha,10,9,4,230,67*,46.00,198,116.16,0,1,20,2
42,Dwaraka Ravi Teja,12,9,2,183,60,26.14,144,127.08,0,1,17,4
43,Eoin Morgan,12,9,0,137,66,15.22,117,117.09,0,1,17,3
44,Mayank Agarwal,8,7,0,141,41,20.14,120,117.50,0,0,16,4
45,Saurabh Tiwary,16,13,5,187,42*,23.37,188,99.46,0,0,13,5
46,Irfan Pathan,14,12,4,150,44*,18.75,138,108.69,0,0,12,6
47,Kieron Pollard,16,13,3,146,28,14.60,133,109.77,0,0,12,6
48,Ajinkya Rahane,10,7,1,120,52,20.00,98,122.44,0,1,12,2
49,Ross Taylor,12,11,6,181,47*,36.20,152,119.07,0,0,11,7
50,Naman Ojha,14,14,1,160,29,12.30,161,99.37,0,0,11,11
51,Ashok Menaria,13,10,1,180,34,20.00,152,118.42,0,0,10,10
52,James Franklin,8,5,3,107,45*,53.50,78,137.17,0,0,10,2
53,Davy Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,10,4
54,JP Duminy,10,10,0,205,55,20.50,174,117.81,0,1,9,8
55,Dan Christian,14,13,2,190,30,17.27,159,119.49,0,0,9,7
56,Andrew Symonds,11,9,5,135,44*,33.75,138,97.82,0,0,9,3
57,Ryan ten Doeschate,6,3,1,107,70*,53.50,73,146.57,0,1,9,5
58,Harbhajan Singh,15,8,5,103,30,34.33,71,145.07,0,0,9,6
59,Travis Birt,5,5,0,75,27,15.00,58,129.31,0,0,9,2
60,Michael Klinger,4,4,0,73,29,18.25,77,94.80,0,0,9,0
61,Amit Mishra,14,9,5,68,25*,17.00,49,138.77,0,0,9,1
62,Abhishek Nayar,10,9,2,61,17*,8.71,67,91.04,0,0,9,0
63,Amit Paunikar,4,4,0,49,20,12.25,57,85.96,0,0,9,0
64,Albie Morkel,15,13,7,138,30*,23.00,102,135.29,0,0,8,8
65,Mithun Manhas,10,10,0,114,35,11.40,123,92.68,0,0,8,4
66,Manvinder Bisla,5,5,0,72,27,14.40,89,80.89,0,0,8,0
67,Ryan McLaren,6,4,1,90,51*,30.00,96,93.75,0,1,7,1
68,Yogesh Nagar,11,10,3,111,23,15.85,100,111.00,0,0,6,6
69,Cameron White,6,6,2,104,31*,26.00,109,95.41,0,0,6,2
70,Srikkanth Anirudha,9,5,1,83,64,20.75,74,112.16,0,1,6,3
71,Callum Ferguson,5,4,2,48,16,24.00,54,88.88,0,0,6,0
72,Sunny Singh,6,5,1,43,20,10.75,31,138.70,0,0,6,1
73,Graeme Smith,4,4,0,42,24,10.50,51,82.35,0,0,6,0
74,Mohnish Mishra,6,5,1,67,37*,16.75,60,111.66,0,0,5,2
75,Tirumalasetti Suman,8,7,1,65,36,10.83,51,127.45,0,0,5,5
76,Abhishek Raut,7,4,1,60,25,20.00,58,103.44,0,0,5,1
77,Mohammad Kaif,8,4,1,41,15,13.66,33,124.24,0,0,5,0
78,Asad Pathan,6,5,1,33,14,8.25,16,206.25,0,0,5,2
79,Shreevats Goswami,5,4,0,29,22,7.25,29,100.00,0,0,5,0
80,Luke Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0,4,2
81,Vinay Kumar,13,7,1,50,18,8.33,47,106.38,0,0,4,1
82,Mandeep Singh,6,5,1,47,15*,11.75,41,114.63,0,0,4,1
83,Raiphi Gomez,11,8,3,46,26*,9.20,50,92.00,0,0,4,1
84,Cheteshwar Pujara,7,3,0,34,25,11.33,31,109.67,0,0,4,0
85,Shakib Al Hasan,7,3,1,29,26,14.50,22,131.81,0,0,4,0
86,Thisara Perera,4,2,0,23,22,11.50,27,85.18,0,0,4,0
87,David Hussey,8,8,2,64,21*,10.66,63,101.58,0,0,3,3
88,Sourav Ganguly,4,3,1,50,32*,25.00,59,84.74,0,0,3,2
89,Aaron Finch,6,6,0,47,25,7.83,46,102.17,0,0,3,3
90,VVS Laxman,3,3,0,44,36,14.66,42,104.76,0,0,3,2
91,Morne Morkel,11,5,3,40,16*,20.00,25,160.00,0,0,3,2
92,Dale Steyn,12,5,1,36,13,9.00,35,102.85,0,0,3,0
93,Ryan Harris,13,7,2,31,17,6.20,39,79.48,0,0,3,0
94,Ishank Jaggi,2,2,0,28,25,14.00,37,75.67,0,0,3,0
95,Abhimanyu Mithun,12,6,3,27,11,9.00,20,135.00,0,0,3,1
96,Rajat Bhatia,14,6,3,25,11,8.33,22,113.63,0,0,3,0
97,Y Gnaneswara Rao,2,1,0,19,19,19.00,17,111.76,0,0,3,0
98,Faiz Fazal,2,2,0,19,16,9.50,19,100.00,0,0,3,0
99,Wriddhiman Saha,7,3,2,68,46*,68.00,63,107.93,0,0,2,4
100,Mitchell Marsh,5,3,1,50,37,25.00,49,102.04,0,0,2,3
